address_id	street	floor	postal_code	city	province	country
addr-cust5-sh2	Alpenlandstraße 73a	 Apt. 354	5340	 Jungholz	 Burgenland	 Austria
addr-cust6-sh2	Prixgasse 74	 6 OG	6119	 Zeillern	 Kärnten	 Austria
addr-cust7-sh2	Weiherweg 86b	 Zimmer 542	5980	 Altenfelden	 Tirol	 Austria
addr-cust8-sh2	Flurweg 59	 Apt. 217	6319	 Baumgartenberg	 Niederösterreich	 Austria
addr-cust9-sh2	Ziehrerstraße 00a	 0 OG	8329	 Oberwaltersdorf	 Oberösterreich	 Austria
addr-cust10-sh2	Gemeindeplatz 796	 7 OG	8310	 Ratten	 Salzburg	 Austria
addr-cust11-sh2	Wiener Straße 06a	 Zimmer 278	9936	 Johnsbach	 Steiermark	 Austria
addr-cust12-sh2	Stöpflweg 11c	 Apt. 040	8746	 Tragwein	 Salzburg	 Austria
addr-cust13-sh2	Erlenweg 86a	 Apt. 471	1474	 Viehhofen	 Steiermark	 Austria
addr-cust14-sh2	Johann-Strauß-Gasse 46b	 Zimmer 719	2113	 Raiding	 Niederösterreich	 Austria
addr-cust15-sh2	Zwergjoch 25c	 Apt. 674	7868	 Bergern im Dunkelsteinerwald	 Steiermark	 Austria
addr-cust16-sh2	Neustiftgasse 92c	 2 OG	7890	 Aigen im Mühlkreis	 Tirol	 Austria
addr-cust17-sh2	Ziehrerstraße 862	 5 OG	2762	 Deutsch-Wagram	 Niederösterreich	 Austria
addr-cust18-sh2	Niederegg 119	 Apt. 644	6281	 Bregenz	 Tirol	 Austria
addr-cust19-sh2	Kubinstraße 74c	 2 OG	6372	 Velden am Wörther See	 Burgenland	 Austria
addr-cust20-sh2	Graben (Burgauberg) 286	 Apt. 341	9206	 Berndorf bei Salzburg	 Salzburg	 Austria
addr-cust21-sh2	Auf der Stift 90c	 5 OG	8162	 Sankt Johann im Saggautal	 Tirol	 Austria
addr-cust22-sh2	Gösting 0	 Zimmer 697	5864	 St. Peter am Kammersberg	 Wien	 Austria
addr-cust23-sh2	Konrad-Duden-Gasse 78	 Zimmer 374	8124	 Oed-Oehling	 Salzburg	 Austria
addr-cust24-sh2	Leifling 0	 Zimmer 492	1920	 Taxenbach	 Vorarlberg	 Austria
addr-cust25-sh2	Konrad-Duden-Gasse 2	 Zimmer 000	7984	 Mautern an der Donau	 Oberösterreich	 Austria
addr-cust26-sh2	Eckgrabenweg 09a	 Zimmer 124	8789	 Wien	 Wien	 Austria
addr-cust27-sh2	Klagenfurter Straße 76	 Apt. 611	3920	 Jungholz	 Salzburg	 Austria
addr-cust28-sh2	Schaunbergerstraße 06c	 Apt. 774	9968	 Turnau	 Tirol	 Austria
addr-cust29-sh2	Fritz-Pregl-Straße 79a	 Zimmer 684	2831	 Lavamünd	 Vorarlberg	 Austria
addr-cust30-sh2	Hof 83c	 Zimmer 973	5081	 Wien	 Vorarlberg	 Austria
addr-cust31-sh2	Raiden 27a	 Apt. 225	3823	 Krumbach	 Kärnten	 Austria
addr-cust32-sh2	Moosbachgasse 21b	 6 OG	4567	 Turnau	 Salzburg	 Austria
addr-cust33-sh2	Kinderheimgasse 10a	 Zimmer 811	4540	 Weißkirchen an der Traun	 Salzburg	 Austria
addr-cust34-sh2	Klagenfurter Straße 40b	 1 OG	8215	 Weißkirchen an der Traun	 Burgenland	 Austria
addr-cust35-sh2	Poppichl 62	 9 OG	9923	 Axams	 Tirol	 Austria
addr-cust36-sh2	Mühlboden 53b	 Apt. 825	4582	 Graz	 Salzburg	 Austria
addr-cust37-sh2	Zwergjoch 38b	 2 OG	9599	 Ellmau	 Steiermark	 Austria
addr-cust38-sh2	Graben (Burgauberg) 15c	 1 OG	8165	 Weißkirchen an der Traun	 Oberösterreich	 Austria
addr-cust39-sh2	Torrogasse 35	 Apt. 671	1739	 Axams	 Niederösterreich	 Austria
addr-cust40-sh2	Mitterweg 38a	 Apt. 964	8322	 Preitenegg	 Tirol	 Austria
addr-cust41-sh2	Kirchenplatz 66c	 Zimmer 229	2647	 Viehhofen	 Burgenland	 Austria
addr-cust42-sh2	Hainschwang 76a	 Zimmer 519	2719	 Sankt Johann im Saggautal	 Niederösterreich	 Austria
addr-cust43-sh2	Bahnhofstraße 11	 5 OG	5090	 Tragwein	 Wien	 Austria
addr-cust44-sh2	Konrad-Duden-Gasse 08c	 Zimmer 828	7388	 Überackern	 Tirol	 Austria
addr-cust45-sh2	Herminengasse 165	 Zimmer 655	6696	 Finkenberg	 Niederösterreich	 Austria
addr-cust46-sh2	Brunnelligasse 03b	 9 OG	8847	 Krumbach	 Oberösterreich	 Austria
addr-cust47-sh2	Oberbödenalm 429	 Apt. 807	6673	 Ilztal	 Burgenland	 Austria
addr-cust48-sh2	Kleinbaumgarten 94	 4 OG	5421	 Dürnkrut	 Niederösterreich	 Austria
addr-cust49-sh2	Feld-Weg 73c	 1 OG	6095	 Mattsee	 Kärnten	 Austria
addr-cust50-sh2	Verwaltersiedlung 27b	 Apt. 295	3683	 Johnsbach	 Vorarlberg	 Austria
addr-cust51-sh2	Wasen 6	 3 OG	5671	 Dornbirn	 Salzburg	 Austria
addr-cust52-sh2	Mühle 21b	 Apt. 058	9762	 St. Pölten	 Burgenland	 Austria
addr-cust53-sh2	Alleestraße (Poysbrunn) 07c	 Zimmer 940	7302	 Geiersberg	 Vorarlberg	 Austria
addr-cust54-sh2	Römerweg 275	 Zimmer 689	4846	 Lech	 Salzburg	 Austria
addr-cust55-sh2	Auf der Stift 20	 Apt. 712	2478	 Kirchdorf am Inn	 Tirol	 Austria
addr-cust56-sh2	Hermann von Gilmweg 473	 Apt. 874	9058	 Ratten	 Oberösterreich	 Austria
addr-cust57-sh2	Anton Wildgans-Straße 84a	 3 OG	1579	 Oed-Oehling	 Tirol	 Austria
addr-cust58-sh2	Graben (Burgauberg) 555	 1 OG	5959	 Unterstinkenbrunn	 Tirol	 Austria
addr-cust59-sh2	Alpenlandstraße 10b	 Apt. 885	3832	 Großhöflein	 Salzburg	 Austria
addr-cust60-sh2	Tiroler Straße 44	 6 OG	4780	 Raiding	 Niederösterreich	 Austria
addr-cust61-sh2	Bühelweg 869	 9 OG	8687	 Aigen im Mühlkreis	 Burgenland	 Austria
addr-cust62-sh2	Windisch 20c	 2 OG	6783	 Hochwolkersdorf	 Burgenland	 Austria
addr-cust63-sh2	Hochfeistritz 09b	 6 OG	5773	 Hinterhornbach	 Oberösterreich	 Austria
addr-cust64-sh2	Wiener Straße 591	 Zimmer 543	5112	 Taxenbach	 Niederösterreich	 Austria
addr-cust65-sh2	Lindenweg 67b	 4 OG	8544	 Allerheiligen bei Wildon	 Salzburg	 Austria
addr-cust66-sh2	Alte Poststraße 32b	 9 OG	4827	 Ort im Innkreis	 Niederösterreich	 Austria
addr-cust67-sh2	Am Sternweg 36b	 2 OG	2923	 Mauterndorf	 Steiermark	 Austria
addr-cust68-sh2	Auer-von-Welsbach-Weg 6	 Apt. 170	7648	 Zwölfaxing	 Niederösterreich	 Austria
addr-cust69-sh2	Niederegg 9	 9 OG	7553	 Vitis	 Tirol	 Austria
addr-cust70-sh2	Dr.-Oberreiter-Straße 68c	 Apt. 412	8133	 Gams bei Hieflau	 Tirol	 Austria
addr-cust71-sh2	Hütten 36b	 Zimmer 856	7350	 Johnsbach	 Wien	 Austria
addr-cust72-sh2	Grub 3	 Apt. 115	9074	 Neustift an der Lafnitz	 Salzburg	 Austria
addr-cust73-sh2	Uferstraße (Schwarzau am Steinfeld) 13c	 Apt. 324	2248	 Oberstorcha	 Wien	 Austria
addr-cust74-sh2	Lange Mekotte 11	 Apt. 536	6942	 Aigen im Mühlkreis	 Niederösterreich	 Austria
addr-cust75-sh2	Zebragasse 9	 Apt. 689	8027	 Krumbach	 Steiermark	 Austria
addr-cust76-sh2	Oedt 77	 9 OG	1749	 Hartl	 Steiermark	 Austria
addr-cust77-sh2	Berggasse 9	 0 OG	9318	 Mattsee	 Vorarlberg	 Austria
addr-cust78-sh2	Anton Wildgans-Straße 13b	 9 OG	6896	 St. Pölten	 Burgenland	 Austria
addr-cust79-sh2	Feldstapfe 51	 1 OG	8533	 Mitterbach am Erlaufsee	 Tirol	 Austria
addr-cust80-sh2	Glanfeldbachweg 78b	 7 OG	4511	 Rabenwald	 Salzburg	 Austria
addr-cust81-sh2	Perspektivstraße 524	 0 OG	8208	 Innsbruck	 Burgenland	 Austria
addr-cust82-sh2	Unterer Sonnrainweg 38	 Zimmer 011	1738	 Deutsch-Wagram	 Kärnten	 Austria
addr-cust83-sh2	Raiden 60a	 Zimmer 907	5700	 Waldkirchen am Wesen	 Oberösterreich	 Austria
addr-cust84-sh2	Gartenstraße 30c	 Zimmer 848	2248	 Baumgartenberg	 Steiermark	 Austria
addr-cust85-sh2	Janzgasse 138	 8 OG	4984	 Feistritz am Wechsel	 Salzburg	 Austria
addr-cust86-sh2	Reitschulgasse 36c	 Zimmer 924	3061	 Öblarn	 Vorarlberg	 Austria
addr-cust87-sh2	Am Kronawett (Hagenbrunn) 24c	 Apt. 019	3442	 Übelbach	 Wien	 Austria
addr-cust88-sh2	Malerweg 5	 Apt. 228	3647	 Salzburg	 Niederösterreich	 Austria
addr-cust89-sh2	Hernstorferstraße 08	 Apt. 758	9490	 Lavamünd	 Oberösterreich	 Austria
addr-cust90-sh2	Mühlenweg 06	 8 OG	7012	 Neustift an der Lafnitz	 Steiermark	 Austria
addr-cust91-sh2	Koloniestraße 83	 Apt. 915	5417	 Übersbach	 Vorarlberg	 Austria
addr-cust92-sh2	Johann-Strauß-Gasse 6	 5 OG	8330	 Fritzens	 Oberösterreich	 Austria
addr-cust93-sh2	Zellerstraße 6	 7 OG	5280	 Turnau	 Salzburg	 Austria
addr-cust94-sh2	Römerstraße 659	 3 OG	8674	 Klagenfurt	 Salzburg	 Austria
addr-cust95-sh2	Oedt 65a	 Zimmer 145	1925	 Altenfelden	 Niederösterreich	 Austria
addr-cust96-sh2	Lange Mekotte 98	 4 OG	8293	 Zwölfaxing	 Oberösterreich	 Austria
addr-cust97-sh2	Krankenhausstraße 55b	 2 OG	5236	 Eben im Pongau	 Steiermark	 Austria
addr-cust98-sh2	Musikpavillon Riezlern 8	 4 OG	8809	 Lavamünd	 Steiermark	 Austria
addr-cust99-sh2	Feichteggerwiese 25b	 Apt. 539	3565	 Velden am Wörther See	 Kärnten	 Austria
addr-cust100-sh2	Fünfhaus (Paasdorf) 17a	 Zimmer 135	9040	 Johnsdorf-Brunn	 Niederösterreich	 Austria
